,accuracy,precision,recall,f1_score,roc_auc,score
XGBoost Baseline,0.852,0.688135593220339,0.4987714987714988,0.5783475783475783,0.8364188533680058,0.5465171465171466
XGBoost + SMOTE,0.83,0.5752808988764045,0.628992628992629,0.6009389671361502,0.8344230208636989,0.6121604318787417
XGBoost + Weights,0.834,0.5874125874125874,0.6191646191646192,0.6028708133971292,0.8386491267847201,0.6093883357041252
XGBoost Tuned,0.811,0.5253940455341506,0.7371007371007371,0.6134969325153374,0.8624664726359642,0.6629384543494973
RF Baseline,0.8635,0.7863247863247863,0.4520884520884521,0.5741029641185648,0.8528713613459376,0.5252971593065197
